Squad,# Pl,90s,TotCmp,TotAtt,Cmp%,TotDist,PrgDist,ShtCmp,ShtAtt,shtCmp%,MedCmp,MedAtt,MedCmp%,LonCmp,LonAtt,lonCmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP
Arsenal,24,31,13583,16217,83.8,222487,70741,6873,7521,91.4,5606,6322,88.7,857,1678,51.1,43,37,36.8,6,337,1109,343,61,1487
Aston Villa,28,31,12206,14740,82.8,208370,72056,5621,6235,90.2,5468,6147,89,870,1642,53,36,34.5,30.4,1.5,288,925,258,49,1078
Bournemouth,28,31,10303,13552,76,187776,71266,4452,5174,86,4526,5367,84.3,1121,2337,48,37,38.6,30.6,-1.6,377,1023,279,81,1222
Brentford,27,31,11103,14203,78.2,202513,77468,4906,5655,86.8,4812,5684,84.7,1174,2218,52.9,32,34.2,31.4,-2.2,270,920,269,74,1127
Brighton,31,31,12837,15589,82.3,219346,74972,6145,6801,90.4,5324,6088,87.5,1095,1984,55.2,31,32.1,30.6,-1.1,296,952,273,71,1249
Chelsea,29,31,15060,17722,85,259662,81668,6773,7380,91.8,6834,7558,90.4,1147,2062,55.6,41,44.8,35.2,-3.8,378,1247,278,51,1287
Crystal Palace,29,30,9704,12845,75.5,174820,65431,4215,4922,85.6,4389,5246,83.7,913,2045,44.6,29,34.5,26.9,-5.5,303,747,213,52,957
Everton,26,31,8959,11907,75.2,169711,68112,3974,4622,86,3594,4282,83.9,1218,2354,51.7,19,25.4,22.1,-6.4,250,796,211,69,820
Fulham,26,31,13343,16277,82,238327,80022,5882,6564,89.6,5977,6759,88.4,1238,2224,55.7,39,32.1,28.9,6.9,323,1091,260,80,1261
Ipswich Town,32,31,9588,12328,77.8,169714,64091,4328,4907,88.2,4227,4958,85.3,842,1814,46.4,22,19.9,17.6,2.1,225,725,138,41,778
Leicester City,28,30,11066,13892,79.7,184964,66990,5375,6019,89.3,4545,5253,86.5,851,1856,45.9,20,20.5,20.4,-0.5,200,786,174,56,879
Liverpool,24,31,14996,17821,84.1,254568,85508,7154,7800,91.7,6375,7200,88.5,1143,2045,55.9,54,49.5,42.8,4.5,410,1301,355,67,1559
Manchester City,29,31,17488,19818,88.2,283696,80220,9033,9726,92.9,7224,7875,91.7,1004,1597,62.9,41,43.9,43.6,-2.9,394,1346,355,52,1579
Manchester Utd,29,31,13646,16574,82.3,225148,73227,6700,7441,90,5566,6312,88.2,998,1958,51,23,30.8,28.5,-7.8,321,918,258,58,1151
Newcastle Utd,24,29,11605,14294,81.2,194209,69551,5734,6413,89.4,4801,5484,87.5,851,1732,49.1,37,35.5,31.8,1.5,299,861,277,51,1164
Nott'ham Forest,23,31,8638,11502,75.1,147060,60143,4351,4978,87.4,3122,3876,80.5,830,1886,44,36,28.2,24.9,7.8,281,755,195,47,902
Southampton,34,31,13166,15674,84,222409,71435,6208,6813,91.1,5698,6343,89.8,952,1826,52.1,14,21.8,20.7,-7.8,232,846,189,52,980
Tottenham,31,31,14143,16954,83.4,233326,79180,6621,7339,90.2,6224,6984,89.1,900,1669,53.9,43,38.6,32.2,4.4,335,1093,327,71,1381
West Ham,27,31,11743,14684,80,207232,73556,5478,6203,88.3,4963,5718,86.8,1119,2126,52.6,20,27.1,25.8,-7.1,272,871,220,62,996
Wolves,29,31,11497,14309,80.3,197468,67716,5381,6005,89.6,4747,5421,87.6,1022,2047,49.9,35,29.2,21.2,5.8,257,836,232,58,97
