Squad,# Pl,90s,TotCmp,TotAtt,Cmp%,TotDist,PrgDist,ShtCmp,ShtAtt,ShtCmp%,MedCmp,MedAtt,MedCmp%,LonCmp,LonAtt,LonCmp%,Ast,KP,3-Jan,PPA,CrsPA,PrgP,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen
Arsenal,24,31,13583,16217,83.8,222487,70741,6873,7521,91.4,5606,6322,88.7,857,1678,51.1,43,337,1109,343,61,1487,56.1,19339,1492,4945,8383,6162,1033
Aston Villa,28,31,12206,14740,82.8,208370,72056,5621,6235,90.2,5468,6147,89,870,1642,53,36,288,925,258,49,1078,51.2,17957,2147,6081,7703,4351,771
Bournemouth,28,31,10303,13552,76,187776,71266,4452,5174,86,4526,5367,84.3,1121,2337,48,37,377,1023,279,81,1222,47.5,17515,1806,5252,7502,4983,854
Brentford,27,31,11103,14203,78.2,202513,77468,4906,5655,86.8,4812,5684,84.7,1174,2218,52.9,32,270,920,269,74,1127,48.1,17793,2754,6929,6617,4405,809
Brighton,31,31,12837,15589,82.3,219346,74972,6145,6801,90.4,5324,6088,87.5,1095,1984,55.2,31,296,952,273,71,1249,52.3,19275,2152,6236,8385,4872,844
Chelsea,29,31,15060,17722,85,259662,81668,6773,7380,91.8,6834,7558,90.4,1147,2062,55.6,41,378,1247,278,51,1287,57.9,20917,1962,6315,9468,5304,930
Crystal Palace,29,30,9704,12845,75.5,174820,65431,4215,4922,85.6,4389,5246,83.7,913,2045,44.6,29,303,747,213,52,957,44.2,16529,2039,6113,6947,3626,620
Everton,26,31,8959,11907,75.2,169711,68112,3974,4622,86,3594,4282,83.9,1583,2354,67.2,19,250,796,211,69,820,40,15604,2026,6194,5493,4093,587
Fulham,26,31,13343,16277,82,238327,80022,5882,6564,89.6,5977,6759,88.4,1238,2224,55.7,39,323,1091,260,80,1261,52,19650,2146,6597,8184,5074,757
Ipswich Town,32,31,9588,12328,77.8,169714,64091,4328,4907,88.2,4227,4958,85.3,842,1814,46.4,22,225,725,138,41,778,41.4,15840,2418,6361,6284,3360,500
Leicester City,28,30,11066,13892,79.7,184964,66990,5375,6019,89.3,4545,5253,86.5,851,1856,45.9,20,200,786,174,56,879,45.3,17315,2260,6303,7893,3292,507
Liverpool,24,31,14996,17821,84.1,254568,85508,7154,7800,91.7,6375,7200,88.5,1143,2045,55.9,54,410,1301,355,67,1559,57.8,21218,1899,5808,9581,6014,1060
Manchester City,29,31,17488,19818,88.2,283696,80220,9033,9726,92.9,7224,7875,91.7,904,1697,53.3,41,394,1346,355,52,1579,61,22802,1721,5331,9674,7978,1103
Manchester Utd,29,31,13646,16574,82.3,225148,73227,6700,7441,90,5566,6312,88.2,998,1958,51,23,321,918,258,58,1151,52.8,20102,2081,7059,8588,4642,774
Newcastle Utd,24,29,11605,14294,81.2,194209,69551,5734,6413,89.4,4801,5484,87.5,851,1732,49.1,37,299,861,277,51,1164,50.3,17473,1819,5903,7274,4468,789
Nott'ham Forest,23,31,8638,11502,75.1,147060,60143,4351,4978,87.4,3122,3876,80.5,830,1886,44,36,281,755,195,47,902,40,15273,2022,5220,6067,4186,656
Southampton,34,31,13166,15674,84,222409,71435,6208,6813,91.1,5698,6343,89.8,952,1826,52.1,14,232,846,189,52,980,50.1,19068,2403,6917,8243,4073,589
Tottenham,31,31,14143,16954,83.4,233326,79180,6621,7339,90.2,6224,6984,89.1,900,1669,53.9,43,335,1093,327,71,1381,56.4,20539,2133,6693,8632,5418,884
West Ham,27,31,11743,14684,80,207232,73556,5478,6203,88.3,4963,5718,86.8,1119,2126,52.6,20,272,871,220,62,996,47.6,18388,2381,6719,7847,3998,694
Wolves,29,31,11497,14309,80.3,197468,67716,5381,6005,89.6,4747,5421,87.6,1022,2047,49.9,35,257,836,232,58,97,47.8,17945,2141,6301,8074,3787,588
